id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
249413,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Airwars,2016-11-09,March 24th 2016: (I175a) القيارة Qayyarah, Nineveh province, Iraq""",Airwars,2016-11-09,"March 24th 2016: (I175a) القيارة Qayyarah, Nineveh province, Iraq",US-led coalition,2,Al Qayyārah town,Nīnawá province,Qaḑā’ al Mawşil,35.798827,43.295261,POINT (43.295261 35.798827),181167,Iraq,645,IRQ,Middle East,1,1,2016-03-24,2016-03-24,0,0,1,0,1,1,1
216796,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Agence France Presse,2016-03-27,Thousands of Iraqis flee fighting south of Mosul""",Agence France Presse,2016-03-27,Thousands of Iraqis flee fighting south of Mosul,"Nineveh's provincial council member, witnesses.",2,Makhmūr town,Arbīl province,Qaḑā’ Makhmūr,35.776217,43.579738,POINT (43.579738 35.776217),181168,Iraq,645,IRQ,Middle East,2,2,2016-03-24,2016-03-27,0,0,7,0,7,7,7
216507,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""BBC Monitoring Middle East,2016-03-25,Iraqi forces make advances in western Ramadi - website""",BBC Monitoring Middle East,2016-03-25,Iraqi forces make advances in western Ramadi - website,Ministry of Interior,2,Kubaysah town,Al Anbār province,Hīt district,33.592517,42.616097,POINT (42.616097 33.592517),178286,Iraq,645,IRQ,Middle East,1,1,2016-03-25,2016-03-25,0,6,0,0,6,6,6
216512,2016,1,2016,2016,3,506,IS - Civilians,973,IS - Civilians,234,,IS,1,,Civilians,6,"""Agence France Presse,2016-03-25,Suicide bomber kills 25 south of Baghdad: police"";""Agence France Presse,2016-03-25,Suicide bomber kills 30 south of Baghdad: police"";""Reuters News,2016-03-25,Suicide bomber kills 26, wounds 71 south of Baghdad - Security official"";""Reuters News,2016-03-25,UPDATE 1-Suicide bomber kills 26, wounds 71 south of Baghdad -official"";""Al Jazeera English,2016-03-25,Suicide attack kills dozens at football stadium in Iraq"";""Al Jazeera English,2016-03-26,Suicide bomber kills dozens at football stadium in Iraq""",Agence France Presse;Agence France Presse;Reuters News;Reuters News;Al Jazeera English;Al Jazeera English,2016-03-25;2016-03-25;2016-03-25;2016-03-25;2016-03-25;2016-03-26,"Suicide bomber kills 25 south of Baghdad: police;Suicide bomber kills 30 south of Baghdad: police;Suicide bomber kills 26, wounds 71 south of Baghdad - Security official;UPDATE 1-Suicide bomber kills 26, wounds 71 south of Baghdad -official;Suicide attack kills dozens at football stadium in Iraq;Suicide bomber kills dozens at football stadium in Iraq","police and medics Security official, security head in Babel province ",1,Al Iskandarīyah town,Bābil province,Qaḑā’ al Musayyib,32.887297,44.346193,POINT (44.346193 32.887297),176849,Iraq,645,IRQ,Middle East,1,1,2016-03-25,2016-03-25,0,0,29,0,26,29,30
216795,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Al Jazeera English,2016-03-27,ISIL suicide attackers storm army base in Iraq""",Al Jazeera English,2016-03-27,ISIL suicide attackers storm army base in Iraq,Iraqi defence ministry spokesman ,1,Al-Asad military base,Al Anbār province,Qaḑā’ Haditha,33.795527,42.443066,POINT (42.443066 33.795527),178285,Iraq,645,IRQ,Middle East,1,1,2016-03-26,2016-03-26,18,10,0,0,28,28,28
217984,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Airwars,1753-01-01,March 26th 2016: Mosul, Nineveh province, Iraq""",Airwars,1753-01-01,"March 26th 2016: Mosul, Nineveh province, Iraq",Local sources,1,Mosul town,Nīnawá province,Qaḑā’ al Mawşil,36.335,43.118889,POINT (43.118889 36.335000),181887,Iraq,645,IRQ,Middle East,1,1,2016-03-26,2016-03-26,0,0,8,0,8,8,8
216793,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Agence France Presse,2016-03-26,Suicide bombers kill 3 soldiers in attack on Iraq base""",Agence France Presse,2016-03-26,Suicide bombers kill 3 soldiers in attack on Iraq base,"officers, security sources",1,Al-Asad military base,Al Anbār province,Qaḑā’ Haditha,33.795527,42.443066,POINT (42.443066 33.795527),178285,Iraq,645,IRQ,Middle East,1,1,2016-03-27,2016-03-27,3,4,0,0,7,7,7
216802,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Al Jazeera English,2016-03-29,ISIL claims Baghdad suicide attack that killed seven""",Al Jazeera English,2016-03-29,ISIL claims Baghdad suicide attack that killed seven,Combined Joint Task Force against ISIL,1,Al Fallūjah town,Al Anbār province,Qaḑā’ al Fallūjah,33.355813,43.786124,POINT (43.786124 33.355813),177568,Iraq,645,IRQ,Middle East,1,1,2016-03-28,2016-03-28,0,0,4,0,4,4,4
216797,2016,1,2016,2016,3,506,IS - Civilians,973,IS - Civilians,234,,IS,1,,Civilians,2,"""Reuters News,2016-03-29,UPDATE 2-Islamic State claims central Baghdad bombing"";""Associated Press Newswires,2016-03-29,Suicide bomber kills at least 7 civilians in Iraqi capital""",Reuters News;Associated Press Newswires,2016-03-29;2016-03-29,UPDATE 2-Islamic State claims central Baghdad bombing;Suicide bomber kills at least 7 civilians in Iraqi capital,"Police, Iraqi officials",1,Baghdād city,Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,IRQ,Middle East,1,1,2016-03-29,2016-03-29,0,0,7,0,7,7,7
217991,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Airwars,1753-01-01,March 31st 2016: Mosul, Nineveh province, Iraq""",Airwars,1753-01-01,"March 31st 2016: Mosul, Nineveh province, Iraq",Local sources,1,Mosul town,Nīnawá province,Qaḑā’ al Mawşil,36.335,43.118889,POINT (43.118889 36.335000),181887,Iraq,645,IRQ,Middle East,1,1,2016-03-31,2016-03-31,0,0,1,0,1,1,1
